word,count
"",73
do,15
arquivo,14
o,13
para,12
diretório,8
e,8
-,8
```,8
um,7
de,6
Data,5
"##",5
dentro,5
*backup-dados<yyyy.mm.dd>.csv*,4
os,4
Passo,4
*dados_de_vendas.sh*,3
sudo,3
executável,3
que,3
criei,3
chamado,3
nano,3
4,3
1.,3
relatórios,3
em,2
com,2
touch,2
seguintes,2
gerar,2
inseri,2
venda,2
ecommerce,2
consolidador_de_vendas.sh,2
**ecommerce**,2
*dados_de_vendas.csv*,2
chmod,2
foi,2
arquivo.,2
Dados,2
processamento_de_vendas.sh,2
+x,2
crontab,2
no,2
registro,2
**vendas**.,2
**backup**,2
a,2
as,2
Criei,2
linhas,1
**Arquivo,1
[Editor_nano_2](Sprint%201/desafio/nano2.png),1
`.zip`,1
`YYYY/MM/DD,1
cópia,1
Eu,1
Depois,1
"e,",1
"gerados,",1
às,1
diferentes,1
3,1
compactei,1
primeiras,1
manualmente,1
[Última,1
ETAPAS,1
segunda,1
copiado,1
Mostrar,1
[Consolidador_de_Vendas](Sprint%201/desafio/Consolidador_de_vendas.png),1
operacional,1
dados,1
apaguei,1
3.,1
*processamento_de_vendas.sh*,1
nele.,1
-e,1
dia,1
HH:MM`.,1
manipulei,1
Vendas](Sprint%201/desafio/ultima_data_dados_de_vendas.png),1
relatório.,1
comando,1
vendidos.,1
5,1
"dele,",1
.,1
15:27**.,1
contida,1
mudando,1
"isso,",1
Feito,1
subdiretório,1
por,1
cd,1
[Quantidade_de_Itens_Vendidos](Sprint%201/desafio/Qnt_itens_vendidos.png),1
Um,1
[Editor_nano_1](Sprint%201/desafio/nano1.png),1
primeiro,1
unir,1
Nota:,1
download,1
Quantidade,1
**nome**,1
itens,1
foram,1
data,1
está,1
obter,1
[Relatório_Final_1](Sprint%201/desafio/relatorio_final_1.png),1
[Primeira,1
5.,1
último,1
[Relatório_2708](Sprint%201/desafio/relatorio_2708.png),1
[Relatório_2808](Sprint%201/desafio/relatorio-2808.png),1
[Relatório_2908](Sprint%201/desafio/relatorio_2908.png),1
[Data_Hora_Dados_Vendas](Sprint%201/desafio/Data_hora_dados_vendas.png),1
Executável](Sprint%201/desafio/Permissao_executavel.png),1
quinta,1
mv,1
anterior,1
comandos:,1
crie,1
[4_Execuções](Sprint%201/desafio/4%20execuções.png),1
uma,1
tornar,1
*consolidador_de_vendas.sh*,1
dados_de_vendas:**,1
[Relatório_Final_2](Sprint%201/desafio/relatorio_final_28_29.png),1
hífen:,1
1,1
[Crontab](Sprint%201/desafio/crontab.png),1
informações:,1
**realizar,1
final.txt**.,1
script,1
"#",1
Fiz,1
formato,1
"seguida,",1
**vendas**,1
10,1
"###",1
[Permissão,1
renomeiei,1
fiz,1
executar,1
Dentro,1
precedido,1
2.,1
sistema,1
pudesse,1
execuções,1
diferentes.,1
total,1
**relatório,1
contido,1
"**backup**,",1
mkdir,1
novo,1
`dados-<yyyy.mm.dd>.csv`.,1
Relatórios:,1
4.,1
/home/fabiana/Downloads/dados_de_vendas.csv,1
"**vendas**,",1
2,1
**relatorio.txt**,1
[Relatório_2608](Sprint%201/desafio/relatorio_2608.png),1
criado,1
"*processamento_de_vendas.sh*,",1
nome,1
chmod+x,1
Ainda,1
Vendas](Sprint%201/desafio/primeira_data_dados_de_vendas.png),1
relatório,1
usei,1
